,Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Week,Month,Year,Rolling_Mean,Rolling_Std,Weekly_Sales_Scaled
0,1,2010-02-05,1643690.9,0,42.31,2.572,211.0963582,8.106,5,2,2010,"Axes(0.125,0.11;0.775x0.77)","Axes(0.125,0.11;0.775x0.77)",175.3990487841468
1,1,2010-02-12,1641957.44,1,38.51,2.548,211.2421698,8.106,6,2,2010,"Axes(0.125,0.11;0.775x0.77)","Axes(0.125,0.11;0.775x0.77)",175.34778362615117
2,1,2010-02-19,1611968.17,0,39.93,2.514,211.2891429,8.106,7,2,2010,"Axes(0.125,0.11;0.775x0.77)","Axes(0.125,0.11;0.775x0.77)",174.45457626649792
3,1,2010-02-26,1409727.59,0,46.63,2.561,211.3196429,8.106,8,2,2010,"Axes(0.125,0.11;0.775x0.77)","Axes(0.125,0.11;0.775x0.77)",168.0911980304545
4,1,2010-03-05,1554806.68,0,46.5,2.625,211.3501429,8.106,9,3,2010,"Axes(0.125,0.11;0.775x0.77)","Axes(0.125,0.11;0.775x0.77)",172.717962699311
5,1,2010-03-12,1439541.59,0,57.79,2.667,211.3806429,8.106,10,3,2010,"Axes(0.125,0.11;0.775x0.77)","Axes(0.125,0.11;0.775x0.77)",169.0694124372217
6,1,2010-03-19,1472515.79,0,54.58,2.72,211.215635,8.106,11,3,2010,"Axes(0.125,0.11;0.775x0.77)","Axes(0.125,0.11;0.775x0.77)",170.13427094949796
7,1,2010-03-26,1404429.92,0,51.45,2.732,211.0180424,8.106,12,3,2010,"Axes(0.125,0.11;0.775x0.77)","Axes(0.125,0.11;0.775x0.77)",167.91580474154065
8,1,2010-04-02,1594968.28,0,62.27,2.719,210.8204499,7.808,13,4,2010,"Axes(0.125,0.11;0.775x0.77)","Axes(0.125,0.11;0.775x0.77)",173.94285849149352
9,1,2010-04-09,1545418.53,0,65.86,2.77,210.6228574,7.808,14,4,2010,"Axes(0.125,0.11;0.775x0.77)","Axes(0.125,0.11;0.775x0.77)",172.428313743689
10,1,2010-04-16,1466058.28,0,66.32,2.808,210.4887,7.808,15,4,2010,"Axes(0.125,0.11;0.775x0.77)","Axes(0.125,0.11;0.775x0.77)",169.9271123684925
11,1,2010-04-23,1391256.12,0,64.84,2.795,210.4391228,7.808,16,4,2010,"Axes(0.125,0.11;0.775x0.77)","Axes(0.125,0.11;0.775x0.77)",167.47755181605925
12,1,2010-04-30,1425100.71,0,67.41,2.78,210.3895456,7.808,17,4,2010,"Axes(0.125,0.11;0.775x0.77)","Axes(0.125,0.11;0.775x0.77)",168.59746137600774
13,1,2010-05-07,1603955.12,0,72.55,2.835,210.3399684,7.808,18,5,2010,"Axes(0.125,0.11;0.775x0.77)","Axes(0.125,0.11;0.775x0.77)",174.21386596265708
14,1,2010-05-14,1494251.5,0,74.78,2.854,210.3374261,7.808,19,5,2010,"Axes(0.125,0.11;0.775x0.77)","Axes(0.125,0.11;0.775x0.77)",170.82673058792167
15,1,2010-05-21,1399662.07,0,76.44,2.826,210.6170934,7.808,20,5,2010,"Axes(0.125,0.11;0.775x0.77)","Axes(0.125,0.11;0.775x0.77)",167.75753987952461
16,1,2010-05-28,1432069.95,0,80.44,2.759,210.8967606,7.808,21,5,2010,"Axes(0.125,0.11;0.775x0.77)","Axes(0.125,0.11;0.775x0.77)",168.82566020960974
17,1,2010-06-04,1615524.71,0,80.69,2.705,211.1764278,7.808,22,6,2010,"Axes(0.125,0.11;0.775x0.77)","Axes(0.125,0.11;0.775x0.77)",174.56113465272549
18,1,2010-06-11,1542561.09,0,80.43,2.668,211.4560951,7.808,23,6,2010,"Axes(0.125,0.11;0.775x0.77)","Axes(0.125,0.11;0.775x0.77)",172.33989980201264
19,1,2010-06-18,1503284.06,0,84.11,2.637,211.4537719,7.808,24,6,2010,"Axes(0.125,0.11;0.775x0.77)","Axes(0.125,0.11;0.775x0.77)",171.11233332953083
20,1,2010-06-25,1422711.6,0,84.34,2.653,211.3386526,7.808,25,6,2010,"Axes(0.125,0.11;0.775x0.77)","Axes(0.125,0.11;0.775x0.77)",168.51904588176842
21,1,2010-07-02,1492418.14,0,80.91,2.669,211.2235333,7.787,26,7,2010,"Axes(0.125,0.11;0.775x0.77)","Axes(0.125,0.11;0.775x0.77)",170.76860763168668
22,1,2010-07-09,1546074.18,0,80.48,2.642,211.108414,7.787,27,7,2010,"Axes(0.125,0.11;0.775x0.77)","Axes(0.125,0.11;0.775x0.77)",172.44858383981753
23,1,2010-07-16,1448938.92,0,83.15,2.623,211.1003854,7.787,28,7,2010,"Axes(0.125,0.11;0.775x0.77)","Axes(0.125,0.11;0.775x0.77)",169.37468230322358
24,1,2010-07-23,1385065.2,0,83.36,2.608,211.2351443,7.787,29,7,2010,"Axes(0.125,0.11;0.775x0.77)","Axes(0.125,0.11;0.775x0.77)",167.2705534201635
25,1,2010-07-30,1371986.6,0,81.84,2.64,211.3699032,7.787,30,7,2010,"Axes(0.125,0.11;0.775x0.77)","Axes(0.125,0.11;0.775x0.77)",166.83103334799267
26,1,2010-08-06,1605491.78,0,87.16,2.627,211.5046621,7.787,31,8,2010,"Axes(0.125,0.11;0.775x0.77)","Axes(0.125,0.11;0.775x0.77)",174.26009469733785
27,1,2010-08-13,1508237.76,0,87.0,2.692,211.6394211,7.787,32,8,2010,"Axes(0.125,0.11;0.775x0.77)","Axes(0.125,0.11;0.775x0.77)",171.26843498747172
28,1,2010-08-20,1513080.49,0,86.65,2.664,211.6033633,7.787,33,8,2010,"Axes(0.125,0.11;0.775x0.77)","Axes(0.125,0.11;0.775x0.77)",171.42067902881567
29,1,2010-08-27,1449142.92,0,85.22,2.619,211.5673056,7.787,34,8,2010,"Axes(0.125,0.11;0.775x0.77)","Axes(0.125,0.11;0.775x0.77)",169.38129317151754
30,1,2010-09-03,1540163.53,0,81.21,2.577,211.5312479,7.787,35,9,2010,"Axes(0.125,0.11;0.775x0.77)","Axes(0.125,0.11;0.775x0.77)",172.26562319027948
31,1,2010-09-10,1507460.69,1,78.69,2.565,211.4951902,7.787,36,9,2010,"Axes(0.125,0.11;0.775x0.77)","Axes(0.125,0.11;0.775x0.77)",171.24397258354622
32,1,2010-09-17,1430378.67,0,82.11,2.582,211.5224596,7.787,37,9,2010,"Axes(0.125,0.11;0.775x0.77)","Axes(0.125,0.11;0.775x0.77)",168.7703559015029
33,1,2010-09-24,1351791.03,0,80.94,2.624,211.5972246,7.787,38,9,2010,"Axes(0.125,0.11;0.775x0.77)","Axes(0.125,0.11;0.775x0.77)",166.14630392798202
34,1,2010-10-01,1453329.5,0,71.89,2.603,211.6719895,7.838,39,10,2010,"Axes(0.125,0.11;0.775x0.77)","Axes(0.125,0.11;0.775x0.77)",169.51681487605893
35,1,2010-10-08,1508239.93,0,63.93,2.633,211.7467544,7.838,40,10,2010,"Axes(0.125,0.11;0.775x0.77)","Axes(0.125,0.11;0.775x0.77)",171.26850328688278
36,1,2010-10-15,1459409.1,0,67.18,2.72,211.8137436,7.838,41,10,2010,"Axes(0.125,0.11;0.775x0.77)","Axes(0.125,0.11;0.775x0.77)",169.71310901476573
37,1,2010-10-22,1345454.0,0,69.86,2.725,211.8612937,7.838,42,10,2010,"Axes(0.125,0.11;0.775x0.77)","Axes(0.125,0.11;0.775x0.77)",165.92991159714788
38,1,2010-10-29,1384209.22,0,69.64,2.716,211.9088438,7.838,43,10,2010,"Axes(0.125,0.11;0.775x0.77)","Axes(0.125,0.11;0.775x0.77)",167.2418800187978
39,1,2010-11-05,1551659.28,0,58.74,2.689,211.9563939,7.838,44,11,2010,"Axes(0.125,0.11;0.775x0.77)","Axes(0.125,0.11;0.775x0.77)",172.6209995392982
40,1,2010-11-12,1494479.49,0,59.61,2.728,212.003944,7.838,45,11,2010,"Axes(0.125,0.11;0.775x0.77)","Axes(0.125,0.11;0.775x0.77)",170.83395491451603
41,1,2010-11-19,1483784.18,0,51.41,2.771,211.8896737,7.838,46,11,2010,"Axes(0.125,0.11;0.775x0.77)","Axes(0.125,0.11;0.775x0.77)",170.49418385818566
42,1,2010-11-26,1955624.11,1,64.52,2.735,211.7484333,7.838,47,11,2010,"Axes(0.125,0.11;0.775x0.77)","Axes(0.125,0.11;0.775x0.77)",184.044798560716
43,1,2010-12-03,1548033.78,0,49.27,2.708,211.607193,7.838,48,12,2010,"Axes(0.125,0.11;0.775x0.77)","Axes(0.125,0.11;0.775x0.77)",172.50912958286497
44,1,2010-12-10,1682614.26,0,46.33,2.843,211.4659526,7.838,49,12,2010,"Axes(0.125,0.11;0.775x0.77)","Axes(0.125,0.11;0.775x0.77)",176.53992741829342
45,1,2010-12-17,1891034.93,0,49.84,2.869,211.4053124,7.838,50,12,2010,"Axes(0.125,0.11;0.775x0.77)","Axes(0.125,0.11;0.775x0.77)",182.3418263444351
46,1,2010-12-24,2387950.2,0,52.33,2.886,211.4051222,7.838,51,12,2010,"Axes(0.125,0.11;0.775x0.77)","Axes(0.125,0.11;0.775x0.77)",194.49906079003847
47,1,2010-12-31,1367320.01,1,48.43,2.943,211.4049321,7.838,52,12,2010,"Axes(0.125,0.11;0.775x0.77)","Axes(0.125,0.11;0.775x0.77)",166.67346873107985
48,1,2011-01-07,1444732.28,0,48.27,2.976,211.4047419,7.742,1,1,2011,"Axes(0.125,0.11;0.775x0.77)","Axes(0.125,0.11;0.775x0.77)",169.23820957841042
49,1,2011-01-14,1391013.96,0,35.4,2.983,211.4574109,7.742,2,1,2011,"Axes(0.125,0.11;0.775x0.77)","Axes(0.125,0.11;0.775x0.77)",167.4694676280205
50,1,2011-01-21,1327405.42,0,44.04,3.016,211.8272343,7.742,3,1,2011,"Axes(0.125,0.11;0.775x0.77)","Axes(0.125,0.11;0.775x0.77)",165.30950435459764
51,1,2011-01-28,1316899.31,0,43.83,3.01,212.1970577,7.742,4,1,2011,"Axes(0.125,0.11;0.775x0.77)","Axes(0.125,0.11;0.775x0.77)",164.94552898882108
